,DateTime,SleepStage,time_min,date,valid
33,2023-12-01 00:33:00,0,00:33:00,12/01/2023,
34,2023-12-01 00:34:00,0,00:34:00,12/01/2023,
35,2023-12-01 00:35:00,0,00:35:00,12/01/2023,
36,2023-12-01 00:36:00,0,00:36:00,12/01/2023,
37,2023-12-01 00:37:00,0,00:37:00,12/01/2023,
38,2023-12-01 00:38:00,0,00:38:00,12/01/2023,
39,2023-12-01 00:39:00,0,00:39:00,12/01/2023,
40,2023-12-01 00:40:00,0,00:40:00,12/01/2023,
41,2023-12-01 00:41:00,0,00:41:00,12/01/2023,
42,2023-12-01 00:42:00,0,00:42:00,12/01/2023,
43,2023-12-01 00:43:00,0,00:43:00,12/01/2023,
44,2023-12-01 00:44:00,0,00:44:00,12/01/2023,
45,2023-12-01 00:45:00,0,00:45:00,12/01/2023,
46,2023-12-01 00:46:00,0,00:46:00,12/01/2023,
47,2023-12-01 00:47:00,0,00:47:00,12/01/2023,
48,2023-12-01 00:48:00,0,00:48:00,12/01/2023,
49,2023-12-01 00:49:00,0,00:49:00,12/01/2023,
50,2023-12-01 00:50:00,0,00:50:00,12/01/2023,
51,2023-12-01 00:51:00,0,00:51:00,12/01/2023,
52,2023-12-01 00:52:00,0,00:52:00,12/01/2023,
53,2023-12-01 00:53:00,0,00:53:00,12/01/2023,
54,2023-12-01 00:54:00,0,00:54:00,12/01/2023,
55,2023-12-01 00:55:00,0,00:55:00,12/01/2023,
56,2023-12-01 00:56:00,0,00:56:00,12/01/2023,
57,2023-12-01 00:57:00,0,00:57:00,12/01/2023,
58,2023-12-01 00:58:00,0,00:58:00,12/01/2023,
59,2023-12-01 00:59:00,0,00:59:00,12/01/2023,
60,2023-12-01 01:00:00,0,01:00:00,12/01/2023,
61,2023-12-01 01:01:00,0,01:01:00,12/01/2023,
62,2023-12-01 01:02:00,0,01:02:00,12/01/2023,
63,2023-12-01 01:03:00,0,01:03:00,12/01/2023,
64,2023-12-01 01:04:00,0,01:04:00,12/01/2023,
65,2023-12-01 01:05:00,0,01:05:00,12/01/2023,
66,2023-12-01 01:06:00,0,01:06:00,12/01/2023,
67,2023-12-01 01:07:00,0,01:07:00,12/01/2023,
68,2023-12-01 01:08:00,0,01:08:00,12/01/2023,
69,2023-12-01 01:09:00,0,01:09:00,12/01/2023,
70,2023-12-01 01:10:00,0,01:10:00,12/01/2023,
71,2023-12-01 01:11:00,0,01:11:00,12/01/2023,
72,2023-12-01 01:12:00,0,01:12:00,12/01/2023,
73,2023-12-01 01:13:00,0,01:13:00,12/01/2023,
74,2023-12-01 01:14:00,0,01:14:00,12/01/2023,
75,2023-12-01 01:15:00,0,01:15:00,12/01/2023,
76,2023-12-01 01:16:00,0,01:16:00,12/01/2023,
77,2023-12-01 01:17:00,0,01:17:00,12/01/2023,
78,2023-12-01 01:18:00,0,01:18:00,12/01/2023,
79,2023-12-01 01:19:00,0,01:19:00,12/01/2023,
80,2023-12-01 01:20:00,0,01:20:00,12/01/2023,
81,2023-12-01 01:21:00,0,01:21:00,12/01/2023,
82,2023-12-01 01:22:00,0,01:22:00,12/01/2023,
83,2023-12-01 01:23:00,0,01:23:00,12/01/2023,
84,2023-12-01 01:24:00,0,01:24:00,12/01/2023,
85,2023-12-01 01:25:00,0,01:25:00,12/01/2023,
86,2023-12-01 01:26:00,0,01:26:00,12/01/2023,
87,2023-12-01 01:27:00,0,01:27:00,12/01/2023,
88,2023-12-01 01:28:00,0,01:28:00,12/01/2023,
89,2023-12-01 01:29:00,0,01:29:00,12/01/2023,
90,2023-12-01 01:30:00,0,01:30:00,12/01/2023,
91,2023-12-01 01:31:00,0,01:31:00,12/01/2023,
92,2023-12-01 01:32:00,0,01:32:00,12/01/2023,
93,2023-12-01 01:33:00,0,01:33:00,12/01/2023,
94,2023-12-01 01:34:00,0,01:34:00,12/01/2023,
95,2023-12-01 01:35:00,0,01:35:00,12/01/2023,
96,2023-12-01 01:36:00,0,01:36:00,12/01/2023,
97,2023-12-01 01:37:00,0,01:37:00,12/01/2023,
98,2023-12-01 01:38:00,0,01:38:00,12/01/2023,
99,2023-12-01 01:39:00,0,01:39:00,12/01/2023,
100,2023-12-01 01:40:00,0,01:40:00,12/01/2023,
101,2023-12-01 01:41:00,0,01:41:00,12/01/2023,
102,2023-12-01 01:42:00,0,01:42:00,12/01/2023,
103,2023-12-01 01:43:00,0,01:43:00,12/01/2023,
104,2023-12-01 01:44:00,0,01:44:00,12/01/2023,
105,2023-12-01 01:45:00,0,01:45:00,12/01/2023,
106,2023-12-01 01:46:00,0,01:46:00,12/01/2023,
107,2023-12-01 01:47:00,0,01:47:00,12/01/2023,
108,2023-12-01 01:48:00,0,01:48:00,12/01/2023,
109,2023-12-01 01:49:00,0,01:49:00,12/01/2023,
110,2023-12-01 01:50:00,0,01:50:00,12/01/2023,
111,2023-12-01 01:51:00,0,01:51:00,12/01/2023,
112,2023-12-01 01:52:00,0,01:52:00,12/01/2023,
113,2023-12-01 01:53:00,0,01:53:00,12/01/2023,
114,2023-12-01 01:54:00,0,01:54:00,12/01/2023,
115,2023-12-01 01:55:00,0,01:55:00,12/01/2023,
116,2023-12-01 01:56:00,0,01:56:00,12/01/2023,
117,2023-12-01 01:57:00,0,01:57:00,12/01/2023,
118,2023-12-01 01:58:00,0,01:58:00,12/01/2023,
119,2023-12-01 01:59:00,0,01:59:00,12/01/2023,
120,2023-12-01 02:00:00,0,02:00:00,12/01/2023,
121,2023-12-01 02:01:00,0,02:01:00,12/01/2023,
122,2023-12-01 02:02:00,0,02:02:00,12/01/2023,
123,2023-12-01 02:03:00,0,02:03:00,12/01/2023,
124,2023-12-01 02:04:00,0,02:04:00,12/01/2023,
125,2023-12-01 02:05:00,0,02:05:00,12/01/2023,
126,2023-12-01 02:06:00,0,02:06:00,12/01/2023,
127,2023-12-01 02:07:00,0,02:07:00,12/01/2023,
128,2023-12-01 02:08:00,0,02:08:00,12/01/2023,
129,2023-12-01 02:09:00,0,02:09:00,12/01/2023,
130,2023-12-01 02:10:00,0,02:10:00,12/01/2023,
131,2023-12-01 02:11:00,0,02:11:00,12/01/2023,
132,2023-12-01 02:12:00,0,02:12:00,12/01/2023,
133,2023-12-01 02:13:00,0,02:13:00,12/01/2023,
134,2023-12-01 02:14:00,0,02:14:00,12/01/2023,
135,2023-12-01 02:15:00,0,02:15:00,12/01/2023,
136,2023-12-01 02:16:00,0,02:16:00,12/01/2023,
137,2023-12-01 02:17:00,0,02:17:00,12/01/2023,
138,2023-12-01 02:18:00,0,02:18:00,12/01/2023,
139,2023-12-01 02:19:00,0,02:19:00,12/01/2023,
140,2023-12-01 02:20:00,0,02:20:00,12/01/2023,
141,2023-12-01 02:21:00,0,02:21:00,12/01/2023,
142,2023-12-01 02:22:00,0,02:22:00,12/01/2023,
143,2023-12-01 02:23:00,0,02:23:00,12/01/2023,
144,2023-12-01 02:24:00,0,02:24:00,12/01/2023,
145,2023-12-01 02:25:00,0,02:25:00,12/01/2023,
146,2023-12-01 02:26:00,0,02:26:00,12/01/2023,
147,2023-12-01 02:27:00,0,02:27:00,12/01/2023,
148,2023-12-01 02:28:00,0,02:28:00,12/01/2023,
149,2023-12-01 02:29:00,0,02:29:00,12/01/2023,
150,2023-12-01 02:30:00,0,02:30:00,12/01/2023,
151,2023-12-01 02:31:00,0,02:31:00,12/01/2023,
152,2023-12-01 02:32:00,0,02:32:00,12/01/2023,
153,2023-12-01 02:33:00,0,02:33:00,12/01/2023,
154,2023-12-01 02:34:00,0,02:34:00,12/01/2023,
155,2023-12-01 02:35:00,0,02:35:00,12/01/2023,
156,2023-12-01 02:36:00,0,02:36:00,12/01/2023,
157,2023-12-01 02:37:00,0,02:37:00,12/01/2023,
158,2023-12-01 02:38:00,0,02:38:00,12/01/2023,
159,2023-12-01 02:39:00,0,02:39:00,12/01/2023,
160,2023-12-01 02:40:00,0,02:40:00,12/01/2023,
161,2023-12-01 02:41:00,0,02:41:00,12/01/2023,
162,2023-12-01 02:42:00,0,02:42:00,12/01/2023,
163,2023-12-01 02:43:00,0,02:43:00,12/01/2023,
164,2023-12-01 02:44:00,0,02:44:00,12/01/2023,
165,2023-12-01 02:45:00,0,02:45:00,12/01/2023,
166,2023-12-01 02:46:00,0,02:46:00,12/01/2023,
167,2023-12-01 02:47:00,0,02:47:00,12/01/2023,
168,2023-12-01 02:48:00,0,02:48:00,12/01/2023,
169,2023-12-01 02:49:00,0,02:49:00,12/01/2023,
170,2023-12-01 02:50:00,0,02:50:00,12/01/2023,
171,2023-12-01 02:51:00,0,02:51:00,12/01/2023,
172,2023-12-01 02:52:00,0,02:52:00,12/01/2023,
173,2023-12-01 02:53:00,0,02:53:00,12/01/2023,
174,2023-12-01 02:54:00,0,02:54:00,12/01/2023,
175,2023-12-01 02:55:00,0,02:55:00,12/01/2023,
176,2023-12-01 02:56:00,0,02:56:00,12/01/2023,
177,2023-12-01 02:57:00,0,02:57:00,12/01/2023,
178,2023-12-01 02:58:00,0,02:58:00,12/01/2023,
179,2023-12-01 02:59:00,0,02:59:00,12/01/2023,
180,2023-12-01 03:00:00,0,03:00:00,12/01/2023,
181,2023-12-01 03:01:00,0,03:01:00,12/01/2023,
182,2023-12-01 03:02:00,0,03:02:00,12/01/2023,
183,2023-12-01 03:03:00,0,03:03:00,12/01/2023,
184,2023-12-01 03:04:00,0,03:04:00,12/01/2023,
185,2023-12-01 03:05:00,0,03:05:00,12/01/2023,
186,2023-12-01 03:06:00,0,03:06:00,12/01/2023,
187,2023-12-01 03:07:00,0,03:07:00,12/01/2023,
188,2023-12-01 03:08:00,0,03:08:00,12/01/2023,
189,2023-12-01 03:09:00,0,03:09:00,12/01/2023,
190,2023-12-01 03:10:00,0,03:10:00,12/01/2023,
191,2023-12-01 03:11:00,0,03:11:00,12/01/2023,
192,2023-12-01 03:12:00,0,03:12:00,12/01/2023,
193,2023-12-01 03:13:00,0,03:13:00,12/01/2023,
194,2023-12-01 03:14:00,0,03:14:00,12/01/2023,
195,2023-12-01 03:15:00,0,03:15:00,12/01/2023,
196,2023-12-01 03:16:00,0,03:16:00,12/01/2023,
197,2023-12-01 03:17:00,0,03:17:00,12/01/2023,
198,2023-12-01 03:18:00,0,03:18:00,12/01/2023,
199,2023-12-01 03:19:00,0,03:19:00,12/01/2023,
200,2023-12-01 03:20:00,0,03:20:00,12/01/2023,
201,2023-12-01 03:21:00,0,03:21:00,12/01/2023,
202,2023-12-01 03:22:00,0,03:22:00,12/01/2023,
203,2023-12-01 03:23:00,0,03:23:00,12/01/2023,
204,2023-12-01 03:24:00,0,03:24:00,12/01/2023,
205,2023-12-01 03:25:00,0,03:25:00,12/01/2023,
206,2023-12-01 03:26:00,0,03:26:00,12/01/2023,
207,2023-12-01 03:27:00,0,03:27:00,12/01/2023,
208,2023-12-01 03:28:00,0,03:28:00,12/01/2023,
209,2023-12-01 03:29:00,0,03:29:00,12/01/2023,
210,2023-12-01 03:30:00,0,03:30:00,12/01/2023,
211,2023-12-01 03:31:00,0,03:31:00,12/01/2023,
212,2023-12-01 03:32:00,0,03:32:00,12/01/2023,
213,2023-12-01 03:33:00,0,03:33:00,12/01/2023,
214,2023-12-01 03:34:00,0,03:34:00,12/01/2023,
215,2023-12-01 03:35:00,0,03:35:00,12/01/2023,
216,2023-12-01 03:36:00,0,03:36:00,12/01/2023,
217,2023-12-01 03:37:00,0,03:37:00,12/01/2023,
218,2023-12-01 03:38:00,0,03:38:00,12/01/2023,
219,2023-12-01 03:39:00,0,03:39:00,12/01/2023,
220,2023-12-01 03:40:00,0,03:40:00,12/01/2023,
221,2023-12-01 03:41:00,0,03:41:00,12/01/2023,
222,2023-12-01 03:42:00,0,03:42:00,12/01/2023,
223,2023-12-01 03:43:00,0,03:43:00,12/01/2023,
224,2023-12-01 03:44:00,0,03:44:00,12/01/2023,
225,2023-12-01 03:45:00,0,03:45:00,12/01/2023,
226,2023-12-01 03:46:00,0,03:46:00,12/01/2023,
227,2023-12-01 03:47:00,0,03:47:00,12/01/2023,
228,2023-12-01 03:48:00,0,03:48:00,12/01/2023,
229,2023-12-01 03:49:00,0,03:49:00,12/01/2023,
230,2023-12-01 03:50:00,0,03:50:00,12/01/2023,
231,2023-12-01 03:51:00,0,03:51:00,12/01/2023,
232,2023-12-01 03:52:00,0,03:52:00,12/01/2023,
233,2023-12-01 03:53:00,0,03:53:00,12/01/2023,
234,2023-12-01 03:54:00,0,03:54:00,12/01/2023,
235,2023-12-01 03:55:00,0,03:55:00,12/01/2023,
236,2023-12-01 03:56:00,0,03:56:00,12/01/2023,
237,2023-12-01 03:57:00,0,03:57:00,12/01/2023,
238,2023-12-01 03:58:00,0,03:58:00,12/01/2023,
239,2023-12-01 03:59:00,0,03:59:00,12/01/2023,
240,2023-12-01 04:00:00,0,04:00:00,12/01/2023,
241,2023-12-01 04:01:00,0,04:01:00,12/01/2023,
242,2023-12-01 04:02:00,0,04:02:00,12/01/2023,
243,2023-12-01 04:03:00,0,04:03:00,12/01/2023,
244,2023-12-01 04:04:00,0,04:04:00,12/01/2023,
245,2023-12-01 04:05:00,0,04:05:00,12/01/2023,
246,2023-12-01 04:06:00,0,04:06:00,12/01/2023,
247,2023-12-01 04:07:00,0,04:07:00,12/01/2023,
248,2023-12-01 04:08:00,0,04:08:00,12/01/2023,
249,2023-12-01 04:09:00,0,04:09:00,12/01/2023,
250,2023-12-01 04:10:00,0,04:10:00,12/01/2023,
251,2023-12-01 04:11:00,0,04:11:00,12/01/2023,
252,2023-12-01 04:12:00,0,04:12:00,12/01/2023,
253,2023-12-01 04:13:00,0,04:13:00,12/01/2023,
254,2023-12-01 04:14:00,0,04:14:00,12/01/2023,
255,2023-12-01 04:15:00,0,04:15:00,12/01/2023,
256,2023-12-01 04:16:00,0,04:16:00,12/01/2023,
257,2023-12-01 04:17:00,0,04:17:00,12/01/2023,
258,2023-12-01 04:18:00,0,04:18:00,12/01/2023,
259,2023-12-01 04:19:00,0,04:19:00,12/01/2023,
260,2023-12-01 04:20:00,0,04:20:00,12/01/2023,
261,2023-12-01 04:21:00,0,04:21:00,12/01/2023,
262,2023-12-01 04:22:00,0,04:22:00,12/01/2023,
263,2023-12-01 04:23:00,0,04:23:00,12/01/2023,
264,2023-12-01 04:24:00,0,04:24:00,12/01/2023,
265,2023-12-01 04:25:00,0,04:25:00,12/01/2023,
266,2023-12-01 04:26:00,0,04:26:00,12/01/2023,
267,2023-12-01 04:27:00,0,04:27:00,12/01/2023,
268,2023-12-01 04:28:00,0,04:28:00,12/01/2023,
269,2023-12-01 04:29:00,0,04:29:00,12/01/2023,
270,2023-12-01 04:30:00,0,04:30:00,12/01/2023,
271,2023-12-01 04:31:00,0,04:31:00,12/01/2023,
272,2023-12-01 04:32:00,0,04:32:00,12/01/2023,
273,2023-12-01 04:33:00,0,04:33:00,12/01/2023,
274,2023-12-01 04:34:00,0,04:34:00,12/01/2023,
275,2023-12-01 04:35:00,0,04:35:00,12/01/2023,
276,2023-12-01 04:36:00,0,04:36:00,12/01/2023,
277,2023-12-01 04:37:00,0,04:37:00,12/01/2023,
278,2023-12-01 04:38:00,0,04:38:00,12/01/2023,
279,2023-12-01 04:39:00,0,04:39:00,12/01/2023,
280,2023-12-01 04:40:00,0,04:40:00,12/01/2023,
281,2023-12-01 04:41:00,0,04:41:00,12/01/2023,
282,2023-12-01 04:42:00,0,04:42:00,12/01/2023,
283,2023-12-01 04:43:00,0,04:43:00,12/01/2023,
284,2023-12-01 04:44:00,0,04:44:00,12/01/2023,
285,2023-12-01 04:45:00,0,04:45:00,12/01/2023,
286,2023-12-01 04:46:00,0,04:46:00,12/01/2023,
287,2023-12-01 04:47:00,0,04:47:00,12/01/2023,
288,2023-12-01 04:48:00,0,04:48:00,12/01/2023,
289,2023-12-01 04:49:00,0,04:49:00,12/01/2023,
290,2023-12-01 04:50:00,0,04:50:00,12/01/2023,
291,2023-12-01 04:51:00,0,04:51:00,12/01/2023,
292,2023-12-01 04:52:00,0,04:52:00,12/01/2023,
293,2023-12-01 04:53:00,0,04:53:00,12/01/2023,
294,2023-12-01 04:54:00,0,04:54:00,12/01/2023,
295,2023-12-01 04:55:00,0,04:55:00,12/01/2023,
296,2023-12-01 04:56:00,0,04:56:00,12/01/2023,
297,2023-12-01 04:57:00,0,04:57:00,12/01/2023,
298,2023-12-01 04:58:00,0,04:58:00,12/01/2023,
299,2023-12-01 04:59:00,0,04:59:00,12/01/2023,
300,2023-12-01 05:00:00,0,05:00:00,12/01/2023,
301,2023-12-01 05:01:00,0,05:01:00,12/01/2023,
302,2023-12-01 05:02:00,0,05:02:00,12/01/2023,
303,2023-12-01 05:03:00,0,05:03:00,12/01/2023,
304,2023-12-01 05:04:00,0,05:04:00,12/01/2023,
305,2023-12-01 05:05:00,0,05:05:00,12/01/2023,
306,2023-12-01 05:06:00,0,05:06:00,12/01/2023,
307,2023-12-01 05:07:00,0,05:07:00,12/01/2023,
308,2023-12-01 05:08:00,0,05:08:00,12/01/2023,
309,2023-12-01 05:09:00,0,05:09:00,12/01/2023,
310,2023-12-01 05:10:00,0,05:10:00,12/01/2023,
311,2023-12-01 05:11:00,0,05:11:00,12/01/2023,
312,2023-12-01 05:12:00,0,05:12:00,12/01/2023,
313,2023-12-01 05:13:00,0,05:13:00,12/01/2023,
314,2023-12-01 05:14:00,0,05:14:00,12/01/2023,
315,2023-12-01 05:15:00,0,05:15:00,12/01/2023,
316,2023-12-01 05:16:00,0,05:16:00,12/01/2023,
317,2023-12-01 05:17:00,0,05:17:00,12/01/2023,
318,2023-12-01 05:18:00,0,05:18:00,12/01/2023,
319,2023-12-01 05:19:00,0,05:19:00,12/01/2023,
320,2023-12-01 05:20:00,0,05:20:00,12/01/2023,
321,2023-12-01 05:21:00,0,05:21:00,12/01/2023,
322,2023-12-01 05:22:00,0,05:22:00,12/01/2023,
323,2023-12-01 05:23:00,0,05:23:00,12/01/2023,
324,2023-12-01 05:24:00,0,05:24:00,12/01/2023,
325,2023-12-01 05:25:00,0,05:25:00,12/01/2023,
326,2023-12-01 05:26:00,0,05:26:00,12/01/2023,
327,2023-12-01 05:27:00,0,05:27:00,12/01/2023,
328,2023-12-01 05:28:00,0,05:28:00,12/01/2023,
329,2023-12-01 05:29:00,0,05:29:00,12/01/2023,
330,2023-12-01 05:30:00,0,05:30:00,12/01/2023,
331,2023-12-01 05:31:00,0,05:31:00,12/01/2023,
332,2023-12-01 05:32:00,0,05:32:00,12/01/2023,
333,2023-12-01 05:33:00,0,05:33:00,12/01/2023,
334,2023-12-01 05:34:00,0,05:34:00,12/01/2023,
335,2023-12-01 05:35:00,0,05:35:00,12/01/2023,
336,2023-12-01 05:36:00,0,05:36:00,12/01/2023,
337,2023-12-01 05:37:00,0,05:37:00,12/01/2023,
338,2023-12-01 05:38:00,0,05:38:00,12/01/2023,
339,2023-12-01 05:39:00,0,05:39:00,12/01/2023,
340,2023-12-01 05:40:00,0,05:40:00,12/01/2023,
341,2023-12-01 05:41:00,0,05:41:00,12/01/2023,
342,2023-12-01 05:42:00,0,05:42:00,12/01/2023,
343,2023-12-01 05:43:00,0,05:43:00,12/01/2023,
344,2023-12-01 05:44:00,0,05:44:00,12/01/2023,
345,2023-12-01 05:45:00,0,05:45:00,12/01/2023,
346,2023-12-01 05:46:00,0,05:46:00,12/01/2023,
347,2023-12-01 05:47:00,0,05:47:00,12/01/2023,
348,2023-12-01 05:48:00,0,05:48:00,12/01/2023,
349,2023-12-01 05:49:00,0,05:49:00,12/01/2023,
350,2023-12-01 05:50:00,0,05:50:00,12/01/2023,
351,2023-12-01 05:51:00,0,05:51:00,12/01/2023,
352,2023-12-01 05:52:00,0,05:52:00,12/01/2023,
353,2023-12-01 05:53:00,0,05:53:00,12/01/2023,
354,2023-12-01 05:54:00,0,05:54:00,12/01/2023,
355,2023-12-01 05:55:00,0,05:55:00,12/01/2023,
356,2023-12-01 05:56:00,0,05:56:00,12/01/2023,
357,2023-12-01 05:57:00,0,05:57:00,12/01/2023,
358,2023-12-01 05:58:00,0,05:58:00,12/01/2023,
359,2023-12-01 05:59:00,0,05:59:00,12/01/2023,
360,2023-12-01 06:00:00,0,06:00:00,12/01/2023,
361,2023-12-01 06:01:00,0,06:01:00,12/01/2023,
362,2023-12-01 06:02:00,0,06:02:00,12/01/2023,
363,2023-12-01 06:03:00,0,06:03:00,12/01/2023,
364,2023-12-01 06:04:00,0,06:04:00,12/01/2023,
365,2023-12-01 06:05:00,0,06:05:00,12/01/2023,
366,2023-12-01 06:06:00,0,06:06:00,12/01/2023,
367,2023-12-01 06:07:00,0,06:07:00,12/01/2023,
368,2023-12-01 06:08:00,0,06:08:00,12/01/2023,
369,2023-12-01 06:09:00,0,06:09:00,12/01/2023,
370,2023-12-01 06:10:00,0,06:10:00,12/01/2023,
371,2023-12-01 06:11:00,0,06:11:00,12/01/2023,
372,2023-12-01 06:12:00,0,06:12:00,12/01/2023,
373,2023-12-01 06:13:00,0,06:13:00,12/01/2023,
374,2023-12-01 06:14:00,0,06:14:00,12/01/2023,
375,2023-12-01 06:15:00,0,06:15:00,12/01/2023,
376,2023-12-01 06:16:00,0,06:16:00,12/01/2023,
377,2023-12-01 06:17:00,0,06:17:00,12/01/2023,
378,2023-12-01 06:18:00,0,06:18:00,12/01/2023,
379,2023-12-01 06:19:00,0,06:19:00,12/01/2023,
380,2023-12-01 06:20:00,0,06:20:00,12/01/2023,
381,2023-12-01 06:21:00,0,06:21:00,12/01/2023,
382,2023-12-01 06:22:00,0,06:22:00,12/01/2023,
383,2023-12-01 06:23:00,0,06:23:00,12/01/2023,
384,2023-12-01 06:24:00,0,06:24:00,12/01/2023,
385,2023-12-01 06:25:00,0,06:25:00,12/01/2023,
386,2023-12-01 06:26:00,0,06:26:00,12/01/2023,
387,2023-12-01 06:27:00,0,06:27:00,12/01/2023,
388,2023-12-01 06:28:00,0,06:28:00,12/01/2023,
389,2023-12-01 06:29:00,0,06:29:00,12/01/2023,
390,2023-12-01 06:30:00,0,06:30:00,12/01/2023,
391,2023-12-01 06:31:00,0,06:31:00,12/01/2023,
392,2023-12-01 06:32:00,0,06:32:00,12/01/2023,
393,2023-12-01 06:33:00,0,06:33:00,12/01/2023,
394,2023-12-01 06:34:00,0,06:34:00,12/01/2023,
395,2023-12-01 06:35:00,0,06:35:00,12/01/2023,
396,2023-12-01 06:36:00,0,06:36:00,12/01/2023,
397,2023-12-01 06:37:00,0,06:37:00,12/01/2023,
398,2023-12-01 06:38:00,0,06:38:00,12/01/2023,
399,2023-12-01 06:39:00,0,06:39:00,12/01/2023,
400,2023-12-01 06:40:00,0,06:40:00,12/01/2023,
401,2023-12-01 06:41:00,0,06:41:00,12/01/2023,
402,2023-12-01 06:42:00,0,06:42:00,12/01/2023,
403,2023-12-01 06:43:00,0,06:43:00,12/01/2023,
404,2023-12-01 06:44:00,0,06:44:00,12/01/2023,
405,2023-12-01 06:45:00,0,06:45:00,12/01/2023,
406,2023-12-01 06:46:00,0,06:46:00,12/01/2023,
407,2023-12-01 06:47:00,0,06:47:00,12/01/2023,
408,2023-12-01 06:48:00,0,06:48:00,12/01/2023,
409,2023-12-01 06:49:00,0,06:49:00,12/01/2023,
410,2023-12-01 06:50:00,0,06:50:00,12/01/2023,
411,2023-12-01 06:51:00,0,06:51:00,12/01/2023,
412,2023-12-01 06:52:00,0,06:52:00,12/01/2023,
413,2023-12-01 06:53:00,0,06:53:00,12/01/2023,
414,2023-12-01 06:54:00,0,06:54:00,12/01/2023,
415,2023-12-01 06:55:00,0,06:55:00,12/01/2023,
416,2023-12-01 06:56:00,0,06:56:00,12/01/2023,
417,2023-12-01 06:57:00,0,06:57:00,12/01/2023,
418,2023-12-01 06:58:00,0,06:58:00,12/01/2023,
419,2023-12-01 06:59:00,0,06:59:00,12/01/2023,
420,2023-12-01 07:00:00,0,07:00:00,12/01/2023,
421,2023-12-01 07:01:00,0,07:01:00,12/01/2023,
422,2023-12-01 07:02:00,0,07:02:00,12/01/2023,
423,2023-12-01 07:03:00,0,07:03:00,12/01/2023,
424,2023-12-01 07:04:00,0,07:04:00,12/01/2023,
425,2023-12-01 07:05:00,0,07:05:00,12/01/2023,
426,2023-12-01 07:06:00,0,07:06:00,12/01/2023,
427,2023-12-01 07:07:00,0,07:07:00,12/01/2023,
428,2023-12-01 07:08:00,0,07:08:00,12/01/2023,
429,2023-12-01 07:09:00,0,07:09:00,12/01/2023,
430,2023-12-01 07:10:00,0,07:10:00,12/01/2023,
431,2023-12-01 07:11:00,0,07:11:00,12/01/2023,
432,2023-12-01 07:12:00,0,07:12:00,12/01/2023,
433,2023-12-01 07:13:00,0,07:13:00,12/01/2023,
434,2023-12-01 07:14:00,0,07:14:00,12/01/2023,
435,2023-12-01 07:15:00,0,07:15:00,12/01/2023,
436,2023-12-01 07:16:00,0,07:16:00,12/01/2023,
437,2023-12-01 07:17:00,0,07:17:00,12/01/2023,
438,2023-12-01 07:18:00,0,07:18:00,12/01/2023,
439,2023-12-01 07:19:00,0,07:19:00,12/01/2023,
440,2023-12-01 07:20:00,0,07:20:00,12/01/2023,
441,2023-12-01 07:21:00,0,07:21:00,12/01/2023,
442,2023-12-01 07:22:00,0,07:22:00,12/01/2023,
443,2023-12-01 07:23:00,0,07:23:00,12/01/2023,
444,2023-12-01 07:24:00,0,07:24:00,12/01/2023,
445,2023-12-01 07:25:00,0,07:25:00,12/01/2023,
446,2023-12-01 07:26:00,0,07:26:00,12/01/2023,
447,2023-12-01 07:27:00,0,07:27:00,12/01/2023,
448,2023-12-01 07:28:00,0,07:28:00,12/01/2023,
449,2023-12-01 07:29:00,0,07:29:00,12/01/2023,
